Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collecting_institution,collection_date,collector_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),host_health_state,host_scientific_name,host_sex,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_capture_status,Sample Name,Sample_Name,SRA_accession,SRA Study,Submitter_Id,Title,host_subject_id
ERR5349004,AMPLICON,assembly,70,238994722,PRJEB43269,SAMEA8124896,47258537,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137380,SAMEA8124896,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124896,cov-100001573277,ERS5811869,ERP127218,cov-100001573277,SARS-Cov2 Haut-de-France samples,
ERR5349005,AMPLICON,assembly,70,302846373,PRJEB43269,SAMEA8124897,62666910,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137381,SAMEA8124897,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124897,cov-100001578793,ERS5811870,ERP127218,cov-100001578793,SARS-Cov2 Haut-de-France samples,
ERR5349006,AMPLICON,assembly,70,293243263,PRJEB43269,SAMEA8124898,56791667,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137382,SAMEA8124898,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124898,cov-100001579352,ERS5811871,ERP127218,cov-100001579352,SARS-Cov2 Haut-de-France samples,
ERR5349007,AMPLICON,assembly,70,278427753,PRJEB43269,SAMEA8124899,54109205,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137383,SAMEA8124899,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124899,cov-100001579377,ERS5811872,ERP127218,cov-100001579377,SARS-Cov2 Haut-de-France samples,
ERR5349008,AMPLICON,assembly,70,262622401,PRJEB43269,SAMEA8124900,46252185,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137384,SAMEA8124900,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124900,cov-100001588318,ERS5811873,ERP127218,cov-100001588318,SARS-Cov2 Haut-de-France samples,
ERR5349009,AMPLICON,assembly,71,324960027,PRJEB43269,SAMEA8124901,52819480,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137385,SAMEA8124901,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124901,cov-100001590757,ERS5811874,ERP127218,cov-100001590757,SARS-Cov2 Haut-de-France samples,
ERR5349010,AMPLICON,assembly,70,266910744,PRJEB43269,SAMEA8124902,44693122,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"sra,bam","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137386,SAMEA8124902,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124902,cov-100001591783,ERS5811875,ERP127218,cov-100001591783,SARS-Cov2 Haut-de-France samples,
ERR5349011,AMPLICON,assembly,70,303467220,PRJEB43269,SAMEA8124903,55180658,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137387,SAMEA8124903,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124903,cov-100001591927,ERS5811876,ERP127218,cov-100001591927,SARS-Cov2 Haut-de-France samples,
ERR5349012,AMPLICON,assembly,71,262391809,PRJEB43269,SAMEA8124904,46978487,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137388,SAMEA8124904,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124904,cov-100001592622,ERS5811877,ERP127218,cov-100001592622,SARS-Cov2 Haut-de-France samples,
ERR5349013,AMPLICON,assembly,70,282796867,PRJEB43269,SAMEA8124905,46094879,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,"bam,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137389,SAMEA8124905,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124905,cov-100001592806,ERS5811878,ERP127218,cov-100001592806,SARS-Cov2 Haut-de-France samples,
