Run,Assay Type,BioProject,BioSample,Center Name,collecting_institution,Collection_Date,collector_name,Consent,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),host_health_state,host_scientific_name,host_sex,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_capture_status,Sample Name,Sample_Name,SRA_accession,SRA Study,Submitter_Id,Title,host_subject_id,AssemblyName,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region
ERR5384543,AMPLICON,PRJEB43269,SAMEA8158156,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169484,SAMEA8158156,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:16Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158156,cov-100001691156,ERS5844925,ERP127218,cov-100001691156,SARS-Cov2 Haut-de-France samples,220221-15,assembly,70,66906260,15614692,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5349013,AMPLICON,PRJEB43269,SAMEA8124905,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137389,SAMEA8124905,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:49Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124905,cov-100001592806,ERS5811878,ERP127218,cov-100001592806,SARS-Cov2 Haut-de-France samples,,assembly,70,282796867,46094879,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5349057,AMPLICON,PRJEB43269,SAMEA8124949,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137433,SAMEA8124949,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124949,cov-100001616663,ERS5811922,ERP127218,cov-100001616663,SARS-Cov2 Haut-de-France samples,,assembly,70,323807901,55293724,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384591,AMPLICON,PRJEB43269,SAMEA8158205,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169532,SAMEA8158205,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158205,cov-100001691255,ERS5844973,ERP127218,cov-100001691255,SARS-Cov2 Haut-de-France samples,220221-63,assembly,71,75406532,13067632,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384607,AMPLICON,PRJEB43269,SAMEA8158221,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169548,SAMEA8158221,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158221,cov-100001684738,ERS5844989,ERP127218,cov-100001684738,SARS-Cov2 Haut-de-France samples,220221-79,assembly,70,88004547,14588644,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384627,AMPLICON,PRJEB43269,SAMEA8158241,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169568,SAMEA8158241,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158241,cov-100001691261,ERS5845009,ERP127218,cov-100001691261,SARS-Cov2 Haut-de-France samples,220221-99,assembly,71,81279291,13594874,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384665,AMPLICON,PRJEB43269,SAMEA8158279,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169606,SAMEA8158279,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:18Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158279,cov-100001702752,ERS5845047,ERP127218,cov-100001702752,SARS-Cov2 Haut-de-France samples,220221-137,assembly,70,70999662,12780711,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5698623,AMPLICON,PRJEB43269,SAMEA8238953,UMR 1283/8199,"Synlab\, Haut-de-France",2021-03-12,not provided,public,2021-04-22,2021-04-22,2021-04-12,2021-03-12,ERX5414036,SAMEA8238953,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:38Z,2021-03-12T16:04:54Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8238953,cov-100001682535,ERS5925224,ERP127218,cov-100001682535,SARS-Cov2 Haut-de-France samples,120321-29,assembly,71,80620266,13822991,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5698657,AMPLICON,PRJEB43269,SAMEA8238988,UMR 1283/8199,"Synlab\, Haut-de-France",2021-03-12,not provided,public,2021-04-22,2021-04-22,2021-04-12,2021-03-12,ERX5414070,SAMEA8238988,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:38Z,2021-03-12T16:04:55Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8238988,cov-100001691018,ERS5925259,ERP127218,cov-100001691018,SARS-Cov2 Haut-de-France samples,120321-64,assembly,70,85628830,15760911,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5349058,AMPLICON,PRJEB43269,SAMEA8124950,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137434,SAMEA8124950,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124950,cov-100001616669,ERS5811923,ERP127218,cov-100001616669,SARS-Cov2 Haut-de-France samples,,assembly,70,281302464,57819228,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
